"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"TOH1" "MATCH" "1" "TOH1" "S. cerevisiae" "TOS One Homolog" "1191" "YJL171C" "S000003707" "ORF"
"ARF2" "MATCH" "1" "ARF2" "S. cerevisiae" "ADP-Ribosylation Factor" "546" "YDL137W" "S000002296" "ORF"
"ELO1" "MATCH" "1" "ELO1" "S. cerevisiae" "ELOngation defective" "933" "YJL196C" "S000003732" "ORF"
"SCT1" "MATCH" "1" "SCT1" "S. cerevisiae" "Suppressor of Choline-Transport mutants" "2280" "YBL011W" "S000000107" "ORF"
"IPK1" "MATCH" "1" "IPK1" "S. cerevisiae" "Inositol Polyphosphate Kinase" "846" "YDR315C" "S000002723" "ORF"
"AGP2" "MATCH" "1" "AGP2" "S. cerevisiae" "high-Affinity Glutamine Permease" "1791" "YBR132C" "S000000336" "ORF"
"LHS1" "MATCH" "1" "LHS1" "S. cerevisiae" "Lumenal Hsp Seventy" "2646" "YKL073W" "S000001556" "ORF"
"AGP1" "MATCH" "1" "AGP1" "S. cerevisiae" "high-Affinity Glutamine Permease" "1902" "YCL025C" "S000000530" "ORF"
"PER33" "MATCH" "1" "PER33" "S. cerevisiae" "Pore and ER protein, 33 kDa" "822" "YLR064W" "S000004054" "ORF"
"STV1" "MATCH" "1" "STV1" "S. cerevisiae" "Similar To VPH1" "2673" "YMR054W" "S000004658" "ORF"
"YNR021W" "MATCH" "1" "" "S. cerevisiae" "" "1215" "YNR021W" "S000005304" "ORF"
"LEM3" "MATCH" "1" "LEM3" "S. cerevisiae" "Ligand-Effect Modulator" "1245" "YNL323W" "S000005267" "ORF"
"CUE5" "MATCH" "1" "CUE5" "S. cerevisiae" "Coupling of Ubiquitin conjugation to ER degradation" "1236" "YOR042W" "S000005568" "ORF"
"CUE4" "MATCH" "1" "CUE4" "S. cerevisiae" "Coupling of Ubiquitin conjugation to ER degradation" "354" "YML101C" "S000004568" "ORF"
"LAC1" "MATCH" "1" "LAC1" "S. cerevisiae" "Longevity-Assurance gene Cognate (LAG1 Cognate)" "1257" "YKL008C" "S000001491" "ORF"
"PGC1" "MATCH" "1" "PGC1" "S. cerevisiae" "Phosphatidyl Glycerol phospholipase C" "966" "YPL206C" "S000006127" "ORF"
"VOA1" "MATCH" "1" "VOA1" "S. cerevisiae" "V0 Assembly protein" "798" "YGR106C" "S000003338" "ORF"
"VRG4" "MATCH" "1" "VRG4" "S. cerevisiae" "Vandate Resistance Glycosylation" "1014" "YGL225W" "S000003193" "ORF"
"YLR050C" "MATCH" "1" "EMA19" "S. cerevisiae" "Efficient Mitochondria targeting-Associated protein" "486" "YLR050C" "S000004040" "ORF"
"ASI3" "MATCH" "1" "ASI3" "S. cerevisiae" "Amino acid Sensor-Independent" "2031" "YNL008C" "S000004953" "ORF"
"ASI1" "MATCH" "1" "ASI1" "S. cerevisiae" "Amino acid Sensor-Independent" "1875" "YMR119W" "S000004725" "ORF"
"SPL2" "MATCH" "1" "SPL2" "S. cerevisiae" "Suppressor of PLc1 deletion" "447" "YHR136C" "S000001178" "ORF"
"FPS1" "MATCH" "1" "FPS1" "S. cerevisiae" "fdp1 Suppressor" "2010" "YLL043W" "S000003966" "ORF"
"SCS2" "MATCH" "1" "SCS2" "S. cerevisiae" "Suppressor of Choline Sensitivity" "735" "YER120W" "S000000922" "ORF"
"HMG1" "MATCH" "1" "HMG1" "S. cerevisiae" "3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase" "3165" "YML075C" "S000004540" "ORF"
"YDC1" "MATCH" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"CCC2" "MATCH" "1" "CCC2" "S. cerevisiae" "Cross-Complements Ca(2+) phenotype of csg1" "3015" "YDR270W" "S000002678" "ORF"
"HMG2" "MATCH" "1" "HMG2" "S. cerevisiae" "3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase" "3138" "YLR450W" "S000004442" "ORF"
"CCC1" "MATCH" "1" "CCC1" "S. cerevisiae" "Cross-Complements Ca(2+) phenotype of csg1" "969" "YLR220W" "S000004210" "ORF"
"SCS7" "MATCH" "1" "SCS7" "S. cerevisiae" "Suppressor of Ca2+ Sensitivity" "1155" "YMR272C" "S000004885" "ORF"
"SCS3" "MATCH" "1" "SCS3" "S. cerevisiae" "Suppressor of Choline Sensitivity" "1143" "YGL126W" "S000003094" "ORF"
"SSS1" "MATCH" "1" "SSS1" "S. cerevisiae" "Sec Sixty-one Suppressor" "243" "YDR086C" "S000002493" "ORF"
"GAS1" "MATCH" "1" "GAS1" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1680" "YMR307W" "S000004924" "ORF"
"YPR063C" "MATCH" "1" "" "S. cerevisiae" "" "509" "YPR063C" "S000006267" "ORF"
"GAS3" "MATCH" "1" "GAS3" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1575" "YMR215W" "S000004828" "ORF"
"YMR253C" "MATCH" "1" "" "S. cerevisiae" "" "1245" "YMR253C" "S000004866" "ORF"
"YIM1" "MATCH" "1" "YIM1" "S. cerevisiae" "" "1098" "YMR152W" "S000004760" "ORF"
"GAS5" "MATCH" "1" "GAS5" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1455" "YOL030W" "S000005390" "ORF"
"CTF4" "MATCH" "1" "CTF4" "S. cerevisiae" "Chromosome Transmission Fidelity" "2784" "YPR135W" "S000006339" "ORF"
"BRE4" "MATCH" "1" "BRE4" "S. cerevisiae" "BREfeldin A sensitivity" "3378" "YDL231C" "S000002390" "ORF"
"SRP102" "MATCH" "1" "SRP102" "S. cerevisiae" "Signal Recognition Particle" "735" "YKL154W" "S000001637" "ORF"
"NVJ1" "MATCH" "1" "NVJ1" "S. cerevisiae" "Nucleus-Vacuole Junction" "966" "YHR195W" "S000001238" "ORF"
"SRP72" "MATCH" "1" "SRP72" "S. cerevisiae" "Signal Recognition Particle" "1923" "YPL210C" "S000006131" "ORF"
"NVJ2" "MATCH" "1" "NVJ2" "S. cerevisiae" "Nucleus-Vacuole Junction" "2313" "YPR091C" "S000006295" "ORF"
"DYN2" "MATCH" "1" "DYN2" "S. cerevisiae" "DYNein" "455" "YDR424C" "S000002832" "ORF"
"DYN3" "MATCH" "1" "DYN3" "S. cerevisiae" "DYNein" "939" "YMR299C" "S000004914" "ORF"
"YIP3" "MATCH" "1" "YIP3" "S. cerevisiae" "Ypt-Interacting Protein" "610" "YNL044W" "S000004989" "ORF"
"PEP12" "MATCH" "1" "PEP12" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "867" "YOR036W" "S000005562" "ORF"
"YIP5" "MATCH" "1" "YIP5" "S. cerevisiae" "Ypt-Interacting Protein" "933" "YGL161C" "S000003129" "ORF"
"LAG1" "MATCH" "1" "LAG1" "S. cerevisiae" "Longevity Assurance Gene" "1236" "YHL003C" "S000000995" "ORF"
"RIC1" "MATCH" "1" "RIC1" "S. cerevisiae" "RIbosome Control" "3171" "YLR039C" "S000004029" "ORF"
"YGR266W" "MATCH" "1" "" "S. cerevisiae" "" "2106" "YGR266W" "S000003498" "ORF"
"SPN1" "MATCH" "1" "SPN1" "S. cerevisiae" "Suppresses Postrecruitment functions gene Number 1" "1233" "YPR133C" "S000006337" "ORF"
"FMO1" "MATCH" "1" "FMO1" "S. cerevisiae" "Flavin containing MonoOxygenase" "1299" "YHR176W" "S000001219" "ORF"
"SEY1" "MATCH" "1" "SEY1" "S. cerevisiae" "Synthetic Enhancement of YOP1" "2331" "YOR165W" "S000005691" "ORF"
"VMA22" "MATCH" "1" "VMA22" "S. cerevisiae" "Vacuolar Membrane Atpase" "546" "YHR060W" "S000001102" "ORF"
"NTE1" "MATCH" "1" "NTE1" "S. cerevisiae" "Neuropathy Target Esterase" "5040" "YML059C" "S000004524" "ORF"
"VMA21" "MATCH" "1" "VMA21" "S. cerevisiae" "Vacuolar Membrane Atpase" "234" "YGR105W" "S000003337" "ORF"
"YLR035C-A" "MATCH" "1" "" "S. cerevisiae" "" "" "YLR035C-A" "S000007225" "TransposableElementGene"
"CHO2" "MATCH" "1" "CHO2" "S. cerevisiae" "CHOline requiring" "2610" "YGR157W" "S000003389" "ORF"
"PMR1" "MATCH" "1" "PMR1" "S. cerevisiae" "Plasma Membrane ATPase Related" "2853" "YGL167C" "S000003135" "ORF"
"BRE5" "MATCH" "1" "BRE5" "S. cerevisiae" "BREfeldin A sensitivity" "1548" "YNR051C" "S000005334" "ORF"
"PMT7" "MATCH" "1" "PMT7" "S. cerevisiae" "" "1989" "YDR307W" "S000002715" "ORF"
"RPT6" "MATCH" "1" "RPT6" "S. cerevisiae" "Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase" "1218" "YGL048C" "S000003016" "ORF"
"GOS1" "MATCH" "1" "GOS1" "S. cerevisiae" "GOlgi Snare" "672" "YHL031C" "S000001023" "ORF"
"HLJ1" "MATCH" "1" "HLJ1" "S. cerevisiae" "HomoLogous to E. coli dnaJ protein" "675" "YMR161W" "S000004771" "ORF"
"VPH2" "MATCH" "1" "VPH2" "S. cerevisiae" "Vacuolar pH" "648" "YKL119C" "S000001602" "ORF"
"CAB5" "MATCH" "1" "CAB5" "S. cerevisiae" "" "726" "YDR196C" "S000002604" "ORF"
"EDC3" "MATCH" "1" "EDC3" "S. cerevisiae" "Enhancer of mRNA DeCapping" "1656" "YEL015W" "S000000741" "ORF"
"DGK1" "MATCH" "1" "DGK1" "S. cerevisiae" "DiacylGlycerol Kinase" "873" "YOR311C" "S000005838" "ORF"
"UBP3" "MATCH" "1" "UBP3" "S. cerevisiae" "UBiquitin-specific Protease" "2739" "YER151C" "S000000953" "ORF"
"TPO1" "MATCH" "1" "TPO1" "S. cerevisiae" "Transporter of POlyamines" "1761" "YLL028W" "S000003951" "ORF"
"SPR2" "MATCH" "1" "SPR2" "S. cerevisiae" "SPorulation-Regulated" "711" "YOR214C" "S000005740" "ORF"
"YLR042C" "MATCH" "1" "" "S. cerevisiae" "" "486" "YLR042C" "S000004032" "ORF"
"CSG2" "MATCH" "1" "CSG2" "S. cerevisiae" "Calcium Sensitive Growth" "1233" "YBR036C" "S000000240" "ORF"
"GPT2" "MATCH" "1" "GPT2" "S. cerevisiae" "Glycerol-3-Phosphate acylTransferase" "2232" "YKR067W" "S000001775" "ORF"
"SNL1" "MATCH" "1" "SNL1" "S. cerevisiae" "Suppressor of Nup116-C Lethal" "480" "YIL016W" "S000001278" "ORF"
"PMT4" "MATCH" "1" "PMT4" "S. cerevisiae" "Protein O-MannosylTransferase" "2289" "YJR143C" "S000003904" "ORF"
"PMT3" "MATCH" "1" "PMT3" "S. cerevisiae" "Protein O-MannosylTransferase" "2262" "YOR321W" "S000005848" "ORF"
"PMT6" "MATCH" "1" "PMT6" "S. cerevisiae" "Protein O-MannosylTransferase" "2280" "YGR199W" "S000003431" "ORF"
"YKL063C" "MATCH" "1" "" "S. cerevisiae" "" "504" "YKL063C" "S000001546" "ORF"
"PMT5" "MATCH" "1" "PMT5" "S. cerevisiae" "Protein O-MannosylTransferase" "2232" "YDL093W" "S000002251" "ORF"
"PIL1" "MATCH" "1" "PIL1" "S. cerevisiae" "Phosphorylation Inhibited by Long chain bases" "1020" "YGR086C" "S000003318" "ORF"
"PMT2" "MATCH" "1" "PMT2" "S. cerevisiae" "Protein O-MannosylTransferase" "2280" "YAL023C" "S000000021" "ORF"
"PMT1" "MATCH" "1" "PMT1" "S. cerevisiae" "Protein O-MannosylTransferase" "2454" "YDL095W" "S000002253" "ORF"
"ARL3" "MATCH" "1" "ARL3" "S. cerevisiae" "ADP-Ribosylation factor-Like" "597" "YPL051W" "S000005972" "ORF"
"ARL1" "MATCH" "1" "ARL1" "S. cerevisiae" "ADP-Ribosylation factor-Like" "552" "YBR164C" "S000000368" "ORF"
"GLO3" "MATCH" "1" "GLO3" "S. cerevisiae" "GLyOxalase" "1482" "YER122C" "S000000924" "ORF"
"YOL107W" "MATCH" "1" "" "S. cerevisiae" "" "1029" "YOL107W" "S000005467" "ORF"
"AUR1" "MATCH" "1" "AUR1" "S. cerevisiae" "AUreobasidin A Resistance" "1206" "YKL004W" "S000001487" "ORF"
"HOR7" "MATCH" "1" "HOR7" "S. cerevisiae" "HyperOsmolarity-Responsive" "180" "YMR251W-A" "S000004864" "ORF"
"AVT2" "MATCH" "1" "AVT2" "S. cerevisiae" "Amino acid Vacuolar Transport" "1443" "YEL064C" "S000000790" "ORF"
"GEA2" "MATCH" "1" "GEA2" "S. cerevisiae" "Guanine nucleotide Exchange on ARF" "4380" "YEL022W" "S000000748" "ORF"
"GEA1" "MATCH" "1" "GEA1" "S. cerevisiae" "Guanine nucleotide Exchange on ARF" "4227" "YJR031C" "S000003792" "ORF"
"SWA2" "MATCH" "1" "SWA2" "S. cerevisiae" "Synthetic lethal With Arf1" "2007" "YDR320C" "S000002728" "ORF"
"YNL046W" "MATCH" "1" "" "S. cerevisiae" "" "519" "YNL046W" "S000004991" "ORF"
"ADP1" "MATCH" "1" "ADP1" "S. cerevisiae" "ATP-Dependent Permease" "3150" "YCR011C" "S000000604" "ORF"
"EUG1" "MATCH" "1" "EUG1" "S. cerevisiae" "ER protein Unnecessary for Growth" "1554" "YDR518W" "S000002926" "ORF"
"NEM1" "MATCH" "1" "NEM1" "S. cerevisiae" "Nuclear Envelope Morphology" "1341" "YHR004C" "S000001046" "ORF"
"RFA1" "MATCH" "1" "RFA1" "S. cerevisiae" "Replication Factor A" "1866" "YAR007C" "S000000065" "ORF"
"RFA2" "MATCH" "1" "RFA2" "S. cerevisiae" "Replication Factor A" "930" "YNL312W" "S000005256" "ORF"
"GOT1" "MATCH" "1" "GOT1" "S. cerevisiae" "GOlgi Transport" "499" "YMR292W" "S000004906" "ORF"
"TLG2" "MATCH" "1" "TLG2" "S. cerevisiae" "T-snare affecting a Late Golgi compartment" "1194" "YOL018C" "S000005378" "ORF"
"SOP4" "MATCH" "1" "SOP4" "S. cerevisiae" "Suppressor Of Pma1-7" "705" "YJL192C" "S000003728" "ORF"
"YJU3" "MATCH" "1" "YJU3" "S. cerevisiae" "" "942" "YKL094W" "S000001577" "ORF"
"API2" "MATCH" "1" "API2" "S. cerevisiae" "APIcal" "330" "YDR525W" "S000002933" "ORF"
"NSG2" "MATCH" "1" "NSG2" "S. cerevisiae" "" "900" "YNL156C" "S000005100" "ORF"
"MPD1" "MATCH" "1" "MPD1" "S. cerevisiae" "Multicopy suppressor of PDI1 deletion" "957" "YOR288C" "S000005814" "ORF"
"YGR130C" "MATCH" "1" "" "S. cerevisiae" "" "2451" "YGR130C" "S000003362" "ORF"
"MPD2" "MATCH" "1" "MPD2" "S. cerevisiae" "Multicopy suppressor of PDI1 deletion" "834" "YOL088C" "S000005448" "ORF"
"CHS7" "MATCH" "1" "CHS7" "S. cerevisiae" "CHitin Synthase-related" "951" "YHR142W" "S000001184" "ORF"
"RNR2" "MATCH" "1" "RNR2" "S. cerevisiae" "RiboNucleotide Reductase" "1200" "YJL026W" "S000003563" "ORF"
"ROT1" "MATCH" "1" "ROT1" "S. cerevisiae" "Reversal Of Tor2 lethality" "771" "YMR200W" "S000004813" "ORF"
"BFR1" "MATCH" "1" "BFR1" "S. cerevisiae" "BreFeldin A Resistance" "1413" "YOR198C" "S000005724" "ORF"
"ROT2" "MATCH" "1" "ROT2" "S. cerevisiae" "Reversal Of Tor2 lethality" "2865" "YBR229C" "S000000433" "ORF"
"PKR1" "MATCH" "1" "PKR1" "S. cerevisiae" "Pichia farinosa Killer toxin Resistance" "369" "YMR123W" "S000004730" "ORF"
"POM33" "MATCH" "1" "POM33" "S. cerevisiae" "POre Membrane, 33 kDa" "840" "YLL023C" "S000003946" "ORF"
"YPC1" "MATCH" "1" "YPC1" "S. cerevisiae" "Yeast Phyto-Ceramidase" "951" "YBR183W" "S000000387" "ORF"
"GDA1" "MATCH" "1" "GDA1" "S. cerevisiae" "Guanosine DiphosphatAse" "1557" "YEL042W" "S000000768" "ORF"
"YJR015W" "MATCH" "1" "" "S. cerevisiae" "" "1533" "YJR015W" "S000003776" "ORF"
"KEX1" "MATCH" "1" "KEX1" "S. cerevisiae" "Killer EXpression defective" "2190" "YGL203C" "S000003171" "ORF"
"PSD2" "MATCH" "1" "PSD2" "S. cerevisiae" "PhosphatidylSerine Decarboxylase" "3417" "YGR170W" "S000003402" "ORF"
"KEX2" "MATCH" "1" "KEX2" "S. cerevisiae" "Killer EXpression defective" "2445" "YNL238W" "S000005182" "ORF"
"DFM1" "MATCH" "1" "DFM1" "S. cerevisiae" "Der1-like Family Member" "1026" "YDR411C" "S000002819" "ORF"
"BRL1" "MATCH" "1" "BRL1" "S. cerevisiae" "BRr6 Like protein" "1416" "YHR036W" "S000001078" "ORF"
"KCS1" "MATCH" "1" "KCS1" "S. cerevisiae" "pKC1 Suppressor" "3153" "YDR017C" "S000002424" "ORF"
"SLM1" "MATCH" "1" "SLM1" "S. cerevisiae" "Synthetic Lethal with Mss4" "2061" "YIL105C" "S000001367" "ORF"
"EIS1" "MATCH" "1" "EIS1" "S. cerevisiae" "EISosome" "2532" "YMR031C" "S000004633" "ORF"
"WBP1" "MATCH" "1" "WBP1" "S. cerevisiae" "Wheat germ agglutinin-Binding Protein" "1293" "YEL002C" "S000000728" "ORF"
"ILM1" "MATCH" "1" "ILM1" "S. cerevisiae" "Increased Loss of Mitochondrial DNA" "612" "YJR118C" "S000003879" "ORF"
"APL5" "MATCH" "1" "APL5" "S. cerevisiae" "clathrin Adaptor Protein complex Large chain" "2799" "YPL195W" "S000006116" "ORF"
"APL6" "MATCH" "1" "APL6" "S. cerevisiae" "clathrin Adaptor Protein complex Large chain" "2430" "YGR261C" "S000003493" "ORF"
"GIM4" "MATCH" "1" "GIM4" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "424" "YEL003W" "S000000729" "ORF"
"ESBP6" "MATCH" "1" "ESBP6" "S. cerevisiae" "" "2022" "YNL125C" "S000005069" "ORF"
"GIM3" "MATCH" "1" "GIM3" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "390" "YNL153C" "S000005097" "ORF"
"RUD3" "MATCH" "1" "RUD3" "S. cerevisiae" "Relieves Uso1-1 transport Defect" "1455" "YOR216C" "S000005742" "ORF"
"KAR2" "MATCH" "1" "KAR2" "S. cerevisiae" "KARyogamy" "2049" "YJL034W" "S000003571" "ORF"
"VPS53" "MATCH" "1" "VPS53" "S. cerevisiae" "Vacuolar Protein Sorting" "2469" "YJL029C" "S000003566" "ORF"
"YBR096W" "MATCH" "1" "" "S. cerevisiae" "" "693" "YBR096W" "S000000300" "ORF"
"VPS52" "MATCH" "1" "VPS52" "S. cerevisiae" "Vacuolar Protein Sorting" "1926" "YDR484W" "S000002892" "ORF"
"TOS6" "MATCH" "1" "TOS6" "S. cerevisiae" "" "309" "YNL300W" "S000005244" "ORF"
"PDI1" "MATCH" "1" "PDI1" "S. cerevisiae" "Protein Disulfide Isomerase" "1569" "YCL043C" "S000000548" "ORF"
"VPS54" "MATCH" "1" "VPS54" "S. cerevisiae" "Vacuolar Protein Sorting" "2670" "YDR027C" "S000002434" "ORF"
"KAR5" "MATCH" "1" "KAR5" "S. cerevisiae" "KARyogamy" "1515" "YMR065W" "S000004669" "ORF"
"SAY1" "MATCH" "1" "SAY1" "S. cerevisiae" "Steryl Acetyl hYdrolase" "1275" "YGR263C" "S000003495" "ORF"
"SFB3" "MATCH" "1" "SFB3" "S. cerevisiae" "Sed Five Binding" "2790" "YHR098C" "S000001140" "ORF"
"INP2" "MATCH" "1" "INP2" "S. cerevisiae" "INheritance of Peroxisomes" "2118" "YMR163C" "S000004773" "ORF"
